INNOSPECTRA_NIR,ARCOPTIX_NIR,WASATCH_NIR,WASATCH_VISNIR
,982.32,1313.33,418.78
,982.7,1314.88,419.11
,983.09,1316.43,419.44
,983.48,1317.97,419.78
,983.86,1319.52,420.11
,984.25,1321.07,420.44
,984.64,1322.62,420.77
,985.03,1324.17,421.11
,985.42,1325.71,421.44
,985.8,1327.26,421.77
,986.19,1328.81,422.1
,986.58,1330.35,422.44
,986.97,1331.9,422.77
,987.36,1333.44,423.1
,987.75,1334.99,423.44
,988.14,1336.53,423.77
,988.53,1338.08,424.1
,988.92,1339.62,424.43
,989.32,1341.16,424.77
,989.71,1342.71,425.1
,990.1,1344.25,425.43
,990.49,1345.79,425.76
,990.88,1347.33,426.1
,991.28,1348.88,426.43
,991.67,1350.42,426.76
,992.06,1351.96,427.1
,992.46,1353.5,427.43
,992.85,1355.04,427.76
,993.25,1356.58,428.09
,993.64,1358.12,428.43
,994.04,1359.66,428.76
,994.43,1361.2,429.09
,994.83,1362.74,429.43
,995.22,1364.28,429.76
,995.62,1365.81,430.09
,996.02,1367.35,430.42
,996.41,1368.89,430.76
,996.81,1370.43,431.09
,997.21,1371.96,431.42
,997.61,1373.5,431.76
,998.0,1375.03,432.09
,998.4,1376.57,432.42
,998.8,1378.1,432.75
,999.2,1379.64,433.09
,999.6,1381.17,433.42
,1000.0,1382.71,433.75
,1000.4,1384.24,434.09
,1000.8,1385.77,434.42
,1001.2,1387.31,434.75
,1001.6,1388.84,435.09
,1002.0,1390.37,435.42
,1002.41,1391.9,435.75
,1002.81,1393.43,436.08
,1003.21,1394.96,436.42
,1003.61,1396.49,436.75
,1004.02,1398.02,437.08
,1004.42,1399.55,437.42
,1004.82,1401.08,437.75
,1005.23,1402.61,438.08
,1005.63,1404.14,438.41
,1006.04,1405.67,438.75
,1006.44,1407.2,439.08
,1006.85,1408.72,439.41
,1007.25,1410.25,439.75
,1007.66,1411.78,440.08
,1008.06,1413.3,440.41
,1008.47,1414.83,440.74
,1008.88,1416.35,441.08
,1009.29,1417.88,441.41
,1009.69,1419.4,441.74
,1010.1,1420.92,442.08
,1010.51,1422.45,442.41
,1010.92,1423.97,442.74
,1011.33,1425.49,443.08
,1011.74,1427.02,443.41
,1012.15,1428.54,443.74
,1012.56,1430.06,444.07
,1012.97,1431.58,444.41
,1013.38,1433.1,444.74
,1013.79,1434.62,445.07
,1014.2,1436.14,445.41
,1014.61,1437.66,445.74
,1015.02,1439.18,446.07
,1015.43,1440.7,446.41
,1015.85,1442.21,446.74
,1016.26,1443.73,447.07
,1016.67,1445.25,447.4
,1017.09,1446.76,447.74
,1017.5,1448.28,448.07
,1017.92,1449.8,448.4
,1018.33,1451.31,448.74
,1018.74,1452.83,449.07
,1019.16,1454.34,449.4
,1019.58,1455.85,449.74
,1019.99,1457.37,450.07
,1020.41,1458.88,450.4
,1020.82,1460.39,450.73
,1021.24,1461.9,451.07
,1021.66,1463.42,451.4
,1022.08,1464.93,451.73
,1022.49,1466.44,452.07
,1022.91,1467.95,452.4
,1023.33,1469.46,452.73
,1023.75,1470.97,453.07
,1024.17,1472.48,453.4
,1024.59,1473.98,453.73
,1025.01,1475.49,454.06
,1025.43,1477.0,454.4
,1025.85,1478.51,454.73
,1026.27,1480.01,455.06
,1026.69,1481.52,455.4
,1027.12,1483.02,455.73
,1027.54,1484.53,456.06
,1027.96,1486.03,456.4
,1028.38,1487.54,456.73
,1028.81,1489.04,457.06
,1029.23,1490.54,457.4
,1029.65,1492.04,457.73
,1030.08,1493.55,458.06
,1030.5,1495.05,458.39
,1030.93,1496.55,458.73
,1031.35,1498.05,459.06
,1031.78,1499.55,459.39
,1032.2,1501.05,459.73
,1032.63,1502.55,460.06
,1033.06,1504.05,460.39
,1033.48,1505.54,460.73
,1033.91,1507.04,461.06
,1034.34,1508.54,461.39
,1034.77,1510.04,461.73
,1035.2,1511.53,462.06
,1035.63,1513.03,462.39
,1036.05,1514.52,462.72
,1036.48,1516.02,463.06
,1036.91,1517.51,463.39
,1037.34,1519.0,463.72
,1037.78,1520.5,464.06
