Date of acquisition,Date of measurement,LABEL,VARIETY,Location,Batch (Fogiene),WEIGHT (g),DIA1 (mm) - short width,DIA2 (mm) - long width,DIA3 (mm) - length,VOL_BEFORE (ml),VOL_AFTER (ml),VOLUME (ml),VISUAL_COLOR,VISUAL_MATURITY,VISUAL_DAMAGE (at spectral acquisition side),REMARKS,Distance to probe (cm),Presence of beak/nose,Density of water,Density of fruit,Ripening remarks
24-05-2023,25-05-2023,182,Badami,Chennapatna,26,269,68.45,79.83,93.92,540,810,270,yellow,"immature/mature, ripened",spots,"lenticels formation, spots on B side and near stem",7.4,not prominent,0.935,0.996296296,
25-05-2023,26-05-2023,183,Badami,Chennapatna,27,257,71.57,78.27,92.98,530,790,260,yellow with little green,"immature/mature, ripened",spots,"lenticels formation, spots on A side and near stem",7.4,not prominent,0.935,0.988461538,
25-05-2023,26-05-2023,184,Badami,Chennapatna,27,304,75.49,87.49,102.05,530,830,260,yellow with little green (with red blush),"immature/mature, ripened",spots,"lenticels with certain shoulder development, spots on A and B side",7.2,no,0.935,1.169230769,
25-05-2023,26-05-2023,185,Badami,Chennapatna,27,248,73.09,75.68,93.52,520,780,300,yellow with green,"immature/mature, ripened",spots,"lenticels with certain shoulder development, sap burn on B side and around stem",7.5,yes,0.935,0.826666667,
25-05-2023,26-05-2023,186,Badami,Chennapatna,27,307,74.05,83.68,101.04,520,840,260,yellow with green (with red blush),"immature/mature, ripened",spots,"lenticels with certain shoulder development, spots near apex and A side",7.1,yes,0.935,1.180769231,
25-05-2023,26-05-2023,187,Badami,Chennapatna,27,276,72.2,81.86,94.12,520,800,320,yellow with little green,"immature/mature, ripened",physical injury,"lenticels with certain shoulder development, physical damage on A side, spots on B side and around stem",7.5,no,0.935,0.8625,
25-05-2023,26-05-2023,188,Badami,Chennapatna,27,360,80.77,93,106.81,510,890,280,green with little yellow (red blush),"immature/mature, ripened",none,lenticels with certain shoulder development,6.8,yes,0.935,1.285714286,
25-05-2023,26-05-2023,189,Badami,Chennapatna,27,325,77.53,87.55,99.03,510,840,380,yellow with little green,"immature/mature, ripened",skin damaged ,"lenticels, skin damage on B side and spots around stem",6.8,no,0.935,0.855263158,
25-05-2023,26-05-2023,190,Badami,Chennapatna,27,278,71.6,82.64,95.48,510,800,330,yellow with little green,"immature/mature, ripened",none,"lenticels, spots around stem",7.5,no,0.935,0.842424242,
25-05-2023,26-05-2023,191,Badami,Chennapatna,27,271,70.14,81.73,96.11,510,790,290,yellow with little green,"immature/mature, ripened",spots,"lenticels with certain shoulder development, black plus greenish spots on B side",7.6,not prominent,0.935,0.934482759,
25-05-2023,26-05-2023,192,Badami,Chennapatna,27,297,71.96,81.63,99.53,510,810,280,green with little yellow (red blush),"immature/mature, ripened",spots,"lenticels with certain shoulder development, spots on B and A side",7.1,not prominent,0.935,1.060714286,
29-05-2023,30-05-2023,193,Badami,Chennapatna,28,327,76.47,80.16,100.64,510,850,340,green with little yellow blush,immature/mature,black spots,"lenticels with shoulder , spots on both A and B  sides",6.8, ,0.945,0.961764706,
29-05-2023,30-05-2023,194,Badami,Chennapatna,28,225,67.33,69.27,92.25,510,750,240,green,immature/mature,black spots,"lenticels with shoulder, spots on ",7.8,yes,0.945,0.9375,
29-05-2023,30-05-2023,195,Badami,Chennapatna,28,294,72.88,76.5,102.86,510,810,300,green with red blush,immature/mature,none,lenticels with certain shoulder development,7.2,yes,0.945,0.98,
29-05-2023,30-05-2023,196,Badami,Chennapatna,28,230,67.52,70.8,89.88,510,750,240,green,immature/mature,none,"lenticels with certain shoulder development, spots around stem",7.3,not prominent,0.945,0.958333333,
29-05-2023,30-05-2023,197,Badami,Chennapatna,28,261,68.77,72.6,94.77,510,780,270,green with little yellow,immature/mature,spots,"lenticels with shoulder , spots on both A and B  sides",7.5,yes,0.945,0.966666667,
29-05-2023,30-05-2023,198,Badami,Chennapatna,28,225,66.97,73.25,92.06,505,700,195,green,immature/mature,none,"lenticels with certain shoulder development, spots around stem",8.1,yes,0.945,1.153846154,
29-05-2023,30-05-2023,199,Badami,Chennapatna,28,333,73.19,78.67,105.96,500,850,350,green,immature/mature,none,lenticels with certain shoulder development dry woody texture around stem,6.9,yes,0.945,0.951428571,
29-05-2023,30-05-2023,200,Badami,Chennapatna,28,218,67.55,69.66,87.96,500,740,240,green with red blush,immature/mature,spots,"lenticels with certain shoulder development, spots on A side",7.8,yes,0.945,0.908333333,
29-05-2023,30-05-2023,201,Badami,Chennapatna,28,230,67.97,71.4,90.78,500,750,250,green,immature/mature,spots,"lenticels with certain shoulder development, light greenish twig marks on A and B sides",7.8,yes,0.945,0.92,
29-05-2023,30-05-2023,202,Badami,Chennapatna,28,266,70.89,73.25,97.23,500,780,280,green,immature/mature,none,"lenticels with certain shoulder development, light greenish mark on A side, black spots on B side",7.3,yes,0.945,0.95,
29-05-2023,31-05-2023,203,Badami,Chennapatna,29,203.8,65.96,72.62,88.64,470,680,210,green with red blush,immature/mature,none,"lenticels with certain shoulder development, spots on the shoulder",7.8,not prominent,0.953,0.97047619,
29-05-2023,31-05-2023,204,Badami,Chennapatna,29,217.8,64.21,73.65,91.29,470,700,230,green,immature/mature,none,"lenticels with certain shoulder development, few black marks near apex",7.8,yes,0.953,0.946956522,
29-05-2023,31-05-2023,205,Badami,Chennapatna,29,303.4,71.88,79.71,104.09,460,780,320,green,immature/mature,black spots,"lenticels with certain shoulder development, black spots on A side",7.1,yes,0.953,0.948125,
29-05-2023,31-05-2023,206,Badami,Chennapatna,29,220.6,66.06,74.4,92.58,460,710,250,green,immature/mature,spots,"lenticels with certain shoulder development, marks on A and B side",7.8,no,0.953,0.8824,
29-05-2023,31-05-2023,207,Badami,Chennapatna,29,228.1,69.51,76.56,89.79,460,700,240,green,immature/mature,none,"lenticels with certain shoulder development, skin damage on the shoulders",7.6,yes,0.953,0.950416667,
29-05-2023,31-05-2023,208,Badami,Chennapatna,29,231.3,71.7,74.76,91.73,460,700,240,green,immature/mature,marks,"lenticels with certain shoulder development, spots on A, B side and around stem",7.7,yes,0.953,0.96375,
29-05-2023,31-05-2023,209,Badami,Chennapatna,29,271,69.95,81.31,98.03,450,740,290,green,immature/mature,spots,"lenticels with certain shoulder development, spots on A, B side and around stem",7.5,yes,0.953,0.934482759,
29-05-2023,31-05-2023,210,Badami,Chennapatna,29,239.1,68.13,79.2,91.78,450,710,260,green with red blush,immature/mature,none,"lenticels with certain shoulder development, light greenish spots on B side",7.4,yes,0.953,0.919615385,
29-05-2023,31-05-2023,211,Badami,Chennapatna,29,237.3,69.8,76.13,90.31,450,710,260,green,immature/mature,spots,"lenticels with certain shoulder development, spots on the shoulder and around stem",7.4,yes,0.953,0.912692308,
29-05-2023,31-05-2023,212,Badami,Chennapatna,29,263.9,71.01,81.01,94.1,450,735,285,green,immature/mature,skin damaged ,"lenticels with certain shoulder development, black spots around stem and skin damage on B side",7.3,not prominent,0.953,0.925964912,
29-05-2023,01-06-2023,213,Badami,Chennapatna,30,307.5,74.29,81.93,102.2,440,770,330,green,immature/mature,none,lenticels with certain shoulder development,7,not prominent,0.9406,0.931818182,natural
29-05-2023,01-06-2023,214,Badami,Chennapatna,30,231.4,67.67,73.39,91.95,440,700,260,green,immature/mature,none,lenticels with certain shoulder development,7.8,yes,0.9406,0.89,natural
29-05-2023,01-06-2023,215,Badami,Chennapatna,30,250.8,69.27,70.46,94.57,440,710,270,green,immature/mature,bruise damage,lenticels with certain shoulder development. bruise damage on side B,7.4,yes,0.9406,0.928888889,natural
29-05-2023,01-06-2023,216,Badami,Chennapatna,30,313.7,73.87,85,103.65,440,770,330,green,immature/mature,none,lenticels with certain shoulder development,6.8,yes,0.9406,0.950606061,natural
29-05-2023,01-06-2023,217,Badami,Chennapatna,30,304.1,70.99,83.94,103.67,440,760,320,green,immature/mature,none,lenticels with certain shoulder development,7.1,yes,0.9406,0.9503125,natural
29-05-2023,01-06-2023,218,Badami,Chennapatna,30,253.5,70.45,80.24,92.8,440,710,270,green,immature/mature,black spot,"lenticels with certain shoulder development, black spot on side B",7.5,not prominent,0.9406,0.938888889,artificial
29-05-2023,01-06-2023,219,Badami,Chennapatna,30,280.5,70.24,83.84,100.64,440,740,300,green,immature/mature,black spots,"lenticels with certain shoulder development, black spot on side B, sid b small",7.4,yes,0.9406,0.935,artificial
29-05-2023,01-06-2023,220,Badami,Chennapatna,30,265.8,70.6,76.83,95.18,430,720,290,green,immature/mature,none,"lenticels with certain shoulder development, black spot underside",7.2,not prominent,0.9406,0.916551724,artificial
29-05-2023,01-06-2023,221,Badami,Chennapatna,30,300.7,71.95,84.41,99.85,430,750,320,green yellow,mature,none,"lenticels with certain shoulder development, black spots near stem",7.1,not prominent,0.9406,0.9396875,artificial
29-05-2023,01-06-2023,222,Badami,Chennapatna,30,313,73.72,86.21,103.23,430,770,340,green with red blush,immature/mature,none,"lenticels with certain shoulder development, black spot on side B",7.1,yes,0.9406,0.920588235,artificial
29-05-2023,02-06-2023,223,Badami,Chennapatna,31,241.3,67.38,77.59,94.57,420,660,240,green,immature/mature,none,"lenticels, woody texture on shoulders and spots around stem",7.1,yes,0.9406,1.005416667,artificial
29-05-2023,02-06-2023,224,Badami,Chennapatna,31,234.6,68.05,76.7,90.32,415,660,245,green,immature/mature,none,"lenticels with certain shoulder development, spot near apex and around stem",7.6,yes,0.9406,0.95755102,artificial
29-05-2023,02-06-2023,225,Badami,Chennapatna,31,219.8,69.35,74.03,87.05,410,640,230,green,immature/mature,spots and twig/insect damage,"lenticels with certain shoulder development, insect/twig damage on A side and sap burn on B side",7.6,yes,0.9406,0.955652174,artificial
29-05-2023,02-06-2023,226,Badami,Chennapatna,31,300.6,73.98,83.11,101.29,410,730,320,green with little yellow,immature/mature,spots,"lenticels with certain shoulder development, woody damage and sap burn around stem, spots on A and B side",9.7,yes,0.9406,0.939375,artificial
29-05-2023,02-06-2023,227,Badami,Chennapatna,31,329,72.69,87.57,105.94,410,750,340,green with little yellow,immature/mature,translucent sap,"lenticels with certain shoulder development, translucent sap on B side",6.9,yes,0.9406,0.967647059,artificial
29-05-2023,02-06-2023,228,Badami,Chennapatna,31,215,63.75,70.54,87.54,410,630,220,green with little yellow,immature,black spots,lenticels with shoulder development,10.1,yes,0.935238095,0.977272727,natural
29-05-2023,02-06-2023,229,Badami,Chennapatna,31,226.3,68.93,74.97,88.13,410,640,230,green,immature/mature,black spots,lenticels with little shoulder development,7.6,yes,0.935238095,0.983913043,natural
29-05-2023,02-06-2023,230,Badami,Chennapatna,31,258.8,70.8,78.79,95.17,410,680,270,green with yellow blash,immature/mature,black spots,lenticels with little shoulder development,7.2,not prominent,0.935238095,0.958518519,natural
29-05-2023,02-06-2023,231,Badami,Chennapatna,31,227.3,67.08,75.79,94.67,400,640,240,green,immature/mature,none,"lenticels with sholder, spots on B side",7.8,yes,0.935238095,0.947083333,natural
29-05-2023,02-06-2023,232,Badami,Chennapatna,31,248.5,68.06,79.62,92.69,400,660,260,green with little yellow,immature/mature,none,lenticels with sholder black spots at stem,10.2,not prominent,0.935238095,0.955769231,natural
29-05-2023,05-06-2023,233,Badami,Chennapatna,32,234.6,69.68,77.19,90.74,520,770,250,green with light yellow,"immature/mature, ripened",marks,"lenticels with little shoulder development, cut marks on B side and spots on A side",7.6,yes,0.945557692,0.9384,artificial
29-05-2023,05-06-2023,234,Badami,Chennapatna,32,256.6,69.27,77.49,94.03,520,790,270,green with little yellow,immature/mature,black spots,"lenticels with little shoulder development, spots on B side",7.5,yes,0.945557692,0.95037037,artificial
29-05-2023,05-06-2023,235,Badami,Chennapatna,32,247,67.69,77.93,97.08,520,780,260,green with little yellow,"immature/mature, ripened",black spots,"lenticels with little shoulder development, sap burn on B side and marks on A side",7.5,no,0.945557692,0.95,artificial
29-05-2023,05-06-2023,236,Badami,Chennapatna,32,381.7,78.89,89.91,109.5,520,915,395,green with yellow,"immature/mature, ripened",none,lenticels with little shoulder development,6.3,yes,0.945557692,0.966329114,artificial
29-05-2023,05-06-2023,237,Badami,Chennapatna,32,320.4,70.85,88.58,107.42,520,850,330,green with little yellow,"immature/mature, ripened",spots,"lenticels with certain shoulder development, spots on A side",7.1,yes,0.945557692,0.970909091,artificial
29-05-2023,05-06-2023,238,Badami,Chennapatna,32,255.8,68.93,79.91,95.07,510,780,270,green with yellow blush,immature/mature,none,lenticels with little shoulder development,7.5,yes,0.945557692,0.947407407,artificial
29-05-2023,06-06-2023,239,Badami,Chennapatna,33,277.4,69.58,81.1,97.5,490,770,280,yellow with little green,"immature/mature, rippen",none,"lenticels with black spots, shoulder development",10.1,yes,0.944081633,0.990714286,artificial
29-05-2023,06-06-2023,240,Badami,Chennapatna,33,213.8,65,71.94,91.84,490,710,220,green,immature/mature,none,"lenticels with black spots on B side, shoulder development",7.9,not prominent,0.944081633,0.971818182,artificial
29-05-2023,06-06-2023,241,Badami,Chennapatna,33,228.8,67.91,72.82,91.17,490,730,240,green,immature/mature,none,lenticels with little shoulder development,10.6,yes,0.944081633,0.953333333,artificial
29-05-2023,06-06-2023,242,Badami,Chennapatna,33,221.1,67.13,74.17,90.27,485,720,235,green with yellow blush,"immature/mature, ripened",none,"lenticels with little shoulder development, black spots near stem",7.7,not prominent,0.944081633,0.940851064,artificial
29-05-2023,06-06-2023,243,Badami,Chennapatna,33,187.6,57.92,70.89,87.94,485,680,195,yellow with little green,"immature/mature, ripened",near stem,lenticels with little shoulder development,8.5,not prominent,0.944081633,0.962051282,artificial
29-05-2023,06-06-2023,244,Badami,Chennapatna,33,214.2,69.78,71.74,88.79,480,700,220,green with little yellow blush,"immature/mature, ripened",none,"lenticels with little shoulder development, black spots on A side",7.8,no,0.944081633,0.973636364,natural
29-05-2023,06-06-2023,245,Badami,Chennapatna,33,236.7,65.97,74.58,95.07,480,730,250,green,immature/mature,none,"lenticels with little shoulder development, green line on b side",7.8,yes,0.944081633,0.9468,natural
29-05-2023,06-06-2023,246,Badami,Chennapatna,33,237.3,70.43,77.4,92.83,480,725,245,green,immature/mature,none,"lenticels with little shoulder development, black spots on A side",7.7,yes,0.944081633,0.968571429,natural
29-05-2023,06-06-2023,247,Badami,Chennapatna,33,299.1,72.52,78.63,105.14,480,790,310,green,immature/mature,none,lenticels with little shoulder development,7.2,yes,0.944081633,0.96483871,natural
29-05-2023,06-06-2023,248,Badami,Chennapatna,33,275.2,66.71,74.6,106.14,480,760,280,green and little yellow + red blush,immature/mature,none,lenticels with little shoulder development,7.5,yes,0.944081633,0.982857143,natural
29-05-2023,07-06-2023,249,Badami,Chennapatna,34,236.3,68.03,72.87,95.31,470,710,240,green with little yellow,"immature/mature, ripened",none,"lenticels with little shoulder development, spots around stem",10.4,yes,0.926382979,0.984583333,artificial
29-05-2023,07-06-2023,250,Badami,Chennapatna,34,211.3,67.81,73.26,87.51,465,680,215,green with yellow,"immature/mature, ripened",lenticel damage,lenticel damage with shoulder development,10.6,yes,0.926382979,0.982790698,artificial
29-05-2023,07-06-2023,251,Badami,Chennapatna,34,214.4,66.14,72.17,90.46,460,680,220,green with yellow,"immature/mature, ripened",black spots,"lenticels, black spots on B side",7.9,yes,0.926382979,0.974545455,artificial
29-05-2023,07-06-2023,252,Badami,Chennapatna,34,225.2,66.44,74.81,90.47,460,700,240,green with yellow,"immature/mature, ripened",spots,"lenticels with little shoulder development, sap burn around stem",10.4,yes,0.926382979,0.938333333,artificial
29-05-2023,07-06-2023,253,Badami,Chennapatna,34,231.6,68.28,77.86,92.13,460,700,240,green with yellow,"immature/mature, ripened",none,"lenticels with little shoulder development, spots around stem and near apex",10.3,yes,0.926382979,0.965,natural
29-05-2023,07-06-2023,254,Badami,Chennapatna,34,233.5,68.09,74.68,92.28,450,700,250,green with yellow,"immature/mature, ripened",spots,"lenticels with little shoulder development, spots around stem",7.7,yes,0.926382979,0.934,natural
29-05-2023,07-06-2023,255,Badami,Chennapatna,34,179.2,61.82,69.81,81.74,450,640,190,green,immature/mature,none,"lenticels, black spots around stem",8.3,yes,0.926382979,0.943157895,natural
29-05-2023,07-06-2023,256,Badami,Chennapatna,34,305.6,75.27,82.89,104.99,450,770,320,green with yellow,"immature/mature, ripened",lenticel damage,lenticel damage with shoulder development,7,yes,0.926382979,0.955,natural
29-05-2023,07-06-2023,257,Badami,Chennapatna,34,228.8,68.5,70.68,90.94,450,700,250,green with little yellow,immature/mature,none,"lenticels with little shoulder development, black scab near B side",7.7,not prominent,0.926382979,0.9152,natural
29-05-2023,07-06-2023,258,Badami,Chennapatna,34,262.9,72.39,80.64,96.86,450,730,280,green,immature/mature,none,"lenticels with little shoulder development, spots around stem",7.3,yes,0.926382979,0.938928571,natural
29-05-2023,08-06-2023,259,Badami,Chennapatna,35,225.6,67.63,74.55,90.45,500,730,230,green with yellow blush,"immature/mature, ripened",none,"lenticels with little shoulder development, spots around A,B side",7.9,not prominent,0.9382,0.980869565,natural
29-05-2023,08-06-2023,260,Badami,Chennapatna,35,243.5,66.81,72.2,99.34,500,750,250,red with little green and blush,"immature/mature, ripened",none,"lenticels with little shoulder development, spots around A,B side",7.6,yes,0.9382,0.974,natural
29-05-2023,08-06-2023,261,Badami,Chennapatna,35,197.7,64.2,68.31,88.61,500,700,200,green with red blush,immature/mature,none,lenticels with little shoulder development,8.2,yes,0.9382,0.9885,natural
29-05-2023,08-06-2023,262,Badami,Chennapatna,35,220.4,66.34,73.21,91.6,500,730,230,green,immature/mature,none,lenticels with little shoulder development,7.9,no,0.9382,0.95826087,natural
29-05-2023,08-06-2023,263,Badami,Chennapatna,35,207.7,66.76,72.17,87.22,490,710,220,green with yellow blush,immature/mature,none,lenticels with little shoulder development,8.1,not prominent,0.9382,0.944090909,natural
29-05-2023,08-06-2023,264,Badami,Chennapatna,35,209.1,64.46,68.92,89.96,490,705,215,green with yellow blush,immature/mature,none,"lenticels with little shoulder development, spots around A side",8,yes,0.9382,0.97255814,natural
29-05-2023,08-06-2023,265,Badami,Chennapatna,35,209,64.19,73.04,89.44,490,710,220,green,immature/mature,none,"lenticels with little shoulder development, spots around stem",8,no,0.9382,0.95,natural
29-05-2023,08-06-2023,266,Badami,Chennapatna,35,203.3,64.36,72.02,88.48,485,700,215,green with little yellow,"immature/mature, ripened",none,"lenticels with little shoulder development, spots around stem",8.1,not prominent,0.9382,0.945581395,natural
29-05-2023,08-06-2023,267,Badami,Chennapatna,35,222.1,68.02,71.81,88.51,480,720,240,yellow with little green (with red blush),"immature/mature, ripened",none,"lenticels with little shoulder development, spots around stem",7.8,yes,0.9382,0.925416667,natural
29-05-2023,08-06-2023,268,Badami,Chennapatna,35,229.8,66.63,76.72,91.79,480,725,245,green with little yellow blush,immature/ mature,none,"lenticel with shoulder development , spots near stem",7.8,no,0.9382,0.937959184,natural
29-05-2023,09-06-2023,269,Badami,Chennapatna,36,235.1,66.83,75.8,93.17,460,710,250,green with little yellow,"immature/mature, ripened",none,lenticels with shoulder development,7.7,yes,0.925319149,0.9404,natural
07-06-2023,09-06-2023,270,Badami,Chennapatna,36,275,69.99,80.86,97.52,460,695,235,yellow with green,"immature/mature, ripened",near stem,lenticels with shoulder development,7.3,not prominent,0.925319149,1.170212766,natural
