Date of acquisition,Date of measurement,LABEL,VARIETY,Location,Batch (Fogiene),WEIGHT (g),DIA1 (mm) - short width,DIA2 (mm) - long width,DIA3 (mm) - length,VOL_BEFORE (ml),VOL_AFTER (ml),VOLUME (ml),VISUAL_COLOR,VISUAL_MATURITY,VISUAL_DAMAGE (at spectral acquisition side),REMARKS,Distance to probe (cm),Presence of beak/nose,Density of water,Density of fruit,Ripening remarks
19-06-2023,20-06-2023,324,Badami,Chennapatna,50,263.9,69.76,82.22,95.81,530,800,270,yellow withg little green,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.4,not prominent,0.937735849,0.977407407,
19-06-2023,20-06-2023,325,Badami,Chennapatna,50,201.8,63.94,69.55,88.06,530,740,210,yellow withg little green,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.9,yes,0.937735849,0.960952381,
19-06-2023,20-06-2023,326,Badami,Chennapatna,50,263.7,70.1,79.19,97.63,525,800,275,yellow withg little green,"immature/mature , ripened",damage near stem,"lenticels with little shoulder development, black spots near stem",7.4,no,0.937735849,0.958909091,
19-06-2023,20-06-2023,327,Badami,Chennapatna,50,267.7,71.88,78.61,94.16,525,800,275,yellow withg little green blush,"immature/mature , ripened",none,"lenticels with little shoulder development, less black spots near stem",7.2,no,0.937735849,0.973454545,
19-06-2023,20-06-2023,328,Badami,Chennapatna,50,285.3,71.73,84.21,99.3,520,820,300,green with yelloew,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots on B side",7.3,not prominent,0.937735849,0.951,
19-06-2023,20-06-2023,329,Badami,Chennapatna,50,169,62.59,67.29,79.92,520,700,180,green with yelloew,"immature/mature , ripened",damage near callyx,"lenticels with little shoulder development, black spots near stem and callyx",8.4,no,0.937735849,0.938888889,
19-06-2023,20-06-2023,330,Badami,Chennapatna,50,250.6,68.16,78.49,96.73,520,790,270,yellow with green,"immature/mature , ripened",none,"lenticels with little shoulder development, less black spots near stem",7.5,no,0.937735849,0.928148148,
19-06-2023,20-06-2023,331,Badami,Chennapatna,50,200.2,65.29,70.57,89.28,520,730,210,yellow with little green ands red blush,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",8,no,0.937735849,0.953333333,
19-06-2023,20-06-2023,332,Badami,Chennapatna,50,185.8,60.72,70.24,84.69,520,710,190,yellow with little green blush,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",8.4,yes,0.937735849,0.977894737,
19-06-2023,21-06-2023,333,Badami,Chennapatna,51,373.3,77.11,82.95,109.83,590,970,380,yellow,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots shoulder",6.4,yes,0.933559322,0.982368421,
19-06-2023,21-06-2023,334,Badami,Chennapatna,51,155.4,58.29,66.39,77.36,585,745,160,yellow with very  little green ,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",8.6,not prominent,0.933559322,0.97125,
19-06-2023,21-06-2023,335,Badami,Chennapatna,51,242.5,66.26,70.87,98.3,585,830,245,yellow,"immature/mature , ripened",none,lenticels with little shoulder development,7.8,yes,0.933559322,0.989795918,
19-06-2023,21-06-2023,336,Badami,Chennapatna,51,197.6,62.35,69.45,88.5,580,790,210,yellow with little green ands red blush,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots shoulder",7.8,not prominent,0.933559322,0.940952381,
19-06-2023,21-06-2023,337,Badami,Chennapatna,51,229.6,65.26,73.46,90.43,580,820,240,yellow with little green blush,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near callyx",7.7,no,0.933559322,0.956666667,
19-06-2023,21-06-2023,338,Badami,Chennapatna,51,212.4,63.27,70.98,91.13,580,800,220,yellow with little green,"immature/mature , ripened",none,lenticels with little shoulder development,8,yes,0.933559322,0.965454545,
21-06-2023,22-06-2023,339,Badami,Chennapatna,52,231.3,65.72,72.34,91.23,560,800,240,yellow with little green,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.8,no,0.936071429,0.96375,
21-06-2023,22-06-2023,340,Badami,Chennapatna,52,294,67.27,79.53,102.29,560,860,300,yellow with little green blush,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.4,no,0.936071429,0.98,
21-06-2023,22-06-2023,341,Badami,Chennapatna,52,269.7,68.56,79.11,95.43,560,840,280,yellow with little red blush,"immature/mature , ripened",damage on B side,lenticels with little shoulder development,7.3, not prominent,0.936071429,0.963214286,
21-06-2023,22-06-2023,342,Badami,Chennapatna,52,214.5,62.48,74.28,90.39,560,780,220,yellow with little green and red blush,"immature/mature , ripened",none,lenticels with little shoulder development,7.9,no,0.936071429,0.975,
21-06-2023,22-06-2023,343,Badami,Chennapatna,52,187.1,62.06,67.48,86.3,555,750,195,yellow with little green and little red blush,"immature/mature , ripened",none,lenticels with little shoulder development,8.3,no,0.936071429,0.959487179,
21-06-2023,22-06-2023,344,Badami,Chennapatna,52,275.6,69.07,80.21,100.64,555,840,285,yellow with little green,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.2,no,0.936071429,0.967017544,
21-06-2023,22-06-2023,345,Badami,Chennapatna,52,205.5,62.79,71.07,88.53,550,760,210,yellow with little green and little red blush,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots on B side",8.1,no,0.936071429,0.978571429,
21-06-2023,22-06-2023,346,Badami,Chennapatna,52,219.1,65.39,71.69,88.72,550,780,230,yellow with green,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots on A and B side",7.8, not prominent,0.936071429,0.952608696,
21-06-2023,22-06-2023,347,Badami,Chennapatna,52,206.9,62.8,72.7,86.47,550,760,210,yellow with little green and little red blush,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",8,no,0.936071429,0.985238095,
21-06-2023,22-06-2023,348,Badami,Chennapatna,52,216.4,62.6,70.99,94.46,535,765,230,yellow with little green and little red blush,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots on A side",8.1,yes,0.936071429,0.940869565,
